"SKU","Name","Categories","Tags","Images"
"1052","לוטוס אבן עם שרשרת","פירסינג, לוטוס, עגילים תלויים","ציפוי זהב, לוטוס, שרשרת, זירקון","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1052-d79cd795d798d795d7a1-d7a7d798d79f-d7a2d79d-d7a9d7a8d7a9d7a8d7aa-d7a6d791d7a2-d7a6d799d7a4d795d799-d796d794d791.jpg"
"1023","לאברט זירקון","פירסינג, לאברט","טיטניום, זירקון, לאברט","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1023-d79cd791d7a8d798-d796d7a8d799d7a7d795d79f-d7a7d798d79f-d798d799d798d7a0d799d795d79d.jpg?w=1024"
"1071","פרח מרקיזות","פירסינג, צמודים, מרקיזה","ציפוי זהב, פרח, מרקיזה","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1071-d7a4d7a8d797-d791d7a8d7a7d799d796d795d7aa-d7a6d799d7a4d795d799-d796d794d791.jpg"
"1054","טיפה נופלת 4מ""מ","פירסינג, עגילים תלויים, טיפה","ציפוי זהב, טיפה","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1054-d798d799d7a4d794-d7a0d795d7a4d79cd7aa-4d79ed79e-d7a6d799d7a4d795d799-d796d794d791.jpg"
"1070","משובץ גיאומטרי","פירסינג, צמודים","ציפוי זהב, משובץ, גיאומטרי","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1070-d7a6d795d7a8d794-d792d790d795d79ed798d7a8d799d7aa-d7a2d79d-d796d799d7a8d7a7d795d7a0d799d79d-d7a6d799d7a4d795d799-d796d794d791.jpg"
"1040","מרקיזות בשורה","פירסינג, צמודים, מרקיזה","טיטניום, מרקיזה, שורה","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1040-d79ed7a8d7a7d799d796d795d7aa-d791d7a9d795d7a8d794-d7a6d791d7a2-d798d799d798d7a0d799d795d79d.jpg"
"1050","הליקס מניפה","פירסינג, הליקס","ציפוי זהב, מניפה, הליקס","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1050d794d79cd799d7a7d7a1-d79ed795d797d791d790-d7a2d79d-d7a9d7a8d7a9d7a8d7aa-d7a6d799d7a4d795d799-d796d794d791.jpg"
"1022","פרפר עדין 4מ""מ","פירסינג, צמודים","טיטניום, פרפר","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1022-d7a4d7a8d7a4d7a8-d7a7d798d79f-4d79ed79e-d798d799d798d7a0d799d795d79d.jpg"
"1051","טיפה זירקון","פירסינג, טיפה","טיטניום, טיפה, זירקון","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1051-d798d799d7a4d794-d796d7a8d7a7d795d79f-d798d799d798d7a0d799d795d79d.jpg"
"1063","מרקיזות זהב","פירסינג, מרקיזה","ציפוי זהב, מרקיזה","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1063-d79ed7a8d7a7d799d796d795d7aa-d791d7a6d795d7a8d794-d79ed7a2d795d799d799d79f-d7a6d799d7a4d795d799-d796d794d791.jpg"
"1031","לאברט נחש","פירסינג, לאברט","טיטניום, נחש, לאברט","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1031-d79cd791d7a8d798-d7a0d797d7a9-d798d799d798d7a0d799d795d79d.jpg"
"1019","לוטוס חלק","פירסינג, לוטוס","טיטניום, לוטוס, חלק","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1019-d79cd795d798d795d7a1-d797d79cd7a7-d798d799d798d7a0d799d795d79d.jpg"
"1033","ענף משובץ ירוק","פירסינג, צמודים","טיטניום, ענף, אבן ירוקה","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1033-d7a2d7a0d7a3-d7a2d79d-d7a9d799d791d795d7a5-d799d7a8d795d7a7-d798d799d798d7a0d799d795d79d.jpg"
"1016","עיגול זהב חרוט (4 מ""מ)","פירסינג, צמודים","ציפוי זהב, עיגול, חרוט","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1016-d7a2d799d792d795d79c-d7a2d79d-d797d7a8d799d798d794-4d79ed79e-d7a6d799d7a4d795d799-d796d794d791.jpg"
"1034","קליקר כדורים","פירסינג, קליקר (חישוקים)","ציפוי זהב, קליקר, כדורים","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1034-d7a9d795d7a8d794-d79bd793d795d7a8d799d79d-d7a6d799d7a4d795d799-d796d794d791.jpg"
"1053","הליקס שרשרת פרח","פירסינג, הליקס, עגילים תלויים","טיטניום, הליקס, שרשרת, פרח","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1053-d794d79cd799d7a7d7a1-d7a9d7a8d7a9d7a8d7aa-d7a2d79d-d7a4d7a8d797-d798d799d798d7a0d799d795d79d.jpg"
"1036","מרקיזה זויות","פירסינג, מרקיזה","טיטניום, מרקיזה, זויות","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1036-d79ed7a8d7a7d799d796d795d7aa-d791d796d795d799d7aa-d791d799d7a0d795d7a0d799-4d79ed79c-d7a6d791d7a2-d798d799d798d7a0d799d795d79d.jpg"
"1055","טיפה אופל","פירסינג, טיפה","ציפוי זהב, טיפה, אופל","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1055-d798d799d7a4d794-d7a0d795d7a4d79cd7aa-4d79ed79e-d798d799d798d7a0d799d795d79d.jpg"
"1066","חרב מיניאטורית","פירסינג, צמודים","ציפוי זהב, חרב","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1066-d797d7a8d791-d7a7d798d7a0d794-5d79ed79e-d7a6d799d7a4d795d799-d796d794d791.jpg"
"1021","לוטוס אבן שחורה","פירסינג, לוטוס","טיטניום, לוטוס, אבן שחורה","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1021-d79cd795d798d795d7a1-d7a7d798d79f-d7a9d797d795d7a8-d798d799d798d7a0d799d795d79d.jpg"
"1020","מעויין זירקונים","פירסינג, צמודים","ציפוי זהב, מעויין, זירקון","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1020-d796d7a8d7a7d795d79f-d79ed7a2d795d799d79f-d7a7d798d79f-d7a6d799d7a4d795d799-d796d794d791.jpg"
"1042","זירקון תלוי","פירסינג, עגילים תלויים","טיטניום, זירקון, תלוי","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1042-d796d799d7a8d7a7d795d79f-d7a2d79d-d796d799d7a8d7a7d795d79f-d7aad79cd795d799-d798d799d798d7a0d799d795d79d.jpg"
"1032","עגיל דובון","פירסינג, צמודים","טיטניום, דובון","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1032-d793d795d791d793d791d79f-d798d799d798d7a0d799d795d79d.jpg"
"1017","עיגול חרוט (4 מ""מ)","פירסינג, צמודים","טיטניום, עיגול, חרוט","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1017-d7a2d799d792d795d79c-d7a2d79d-d797d7a8d799d798d794-4d79ed79e-d798d799d798d7a0d799d795d79d.jpg"
"1038","שורה 5 זירקונים","פירסינג, צמודים","טיטניום, שורה, זירקון","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1038-d7a9d795d7a8d794-5-d796d799d7a8d7a7d795d7a0d799d79d-d798d799d798d7a0d799d795d79d.jpg"
"1015","טיפה שחורה (3 מ""מ)","פירסינג, טיפה","טיטניום, טיפה, שחור","https://avintattoo.com/wp-content/uploads/2025/12/d79ed7a7d798-1015-d798d799d7a4d794-d7a9d797d795d7a8d794-3d79ed79e-d798d799d798d7a0d799d795d79d.jpg"
